Ref_tRNA,Genome,Count_Type,Trt,Acid_Phenol,Trizol
nuclear-Ath-LeuCAA-171786,Nuclear,Non-CC/CCA,Control,0.370009021,0.347067188
nuclear-Ath-LeuCAA-171786,Nuclear,Non-CC/CCA,Periodate Oxidation,0.643834372,0.61867339
nuclear-Ath-LeuAAG-171817,Nuclear,CCA,Control,0.735832803,0.7637261
nuclear-Ath-LeuAAG-171817,Nuclear,CCA,Periodate Oxidation,0.531129713,0.562214176
nuclear-Ath-LeuAAG-171817,Nuclear,Non-CC/CCA,Control,0.572069369,0.557725184
nuclear-Ath-LeuAAG-171817,Nuclear,Non-CC/CCA,Periodate Oxidation,0.673730622,0.675951924
nuclear-Ath-LeuAAG-171816,Nuclear,CCA,Control,0.736074026,0.7649012
nuclear-Ath-LeuAAG-171816,Nuclear,CCA,Periodate Oxidation,0.535381242,0.567668782
nuclear-Ath-LeuAAG-171816,Nuclear,Non-CC/CCA,Control,0.574146297,0.55887736
nuclear-Ath-LeuAAG-171816,Nuclear,Non-CC/CCA,Periodate Oxidation,0.675940773,0.679197729
nuclear-Ath-iMetCAT-171659,Nuclear,CCA,Control,0.669186334,0.765914662
nuclear-Ath-iMetCAT-171659,Nuclear,CCA,Periodate Oxidation,0.454931973,0.489250501
nuclear-Ath-iMetCAT-171659,Nuclear,Non-CC/CCA,Control,0.564093882,0.523650619
nuclear-Ath-iMetCAT-171659,Nuclear,Non-CC/CCA,Periodate Oxidation,0.713837825,0.695990854
nuclear-Ath-IleTAT-171764,Nuclear,CCA,Control,0.68757503,0.703306014
nuclear-Ath-IleTAT-171764,Nuclear,CCA,Periodate Oxidation,0.457151237,0.487107522
nuclear-Ath-IleTAT-171764,Nuclear,Non-CC/CCA,Control,0.517901006,0.52280419
nuclear-Ath-IleTAT-171764,Nuclear,Non-CC/CCA,Periodate Oxidation,0.666335859,0.661040394
nuclear-Ath-IleTAT-171721,Nuclear,CCA,Control,0.631851061,0.668282411
nuclear-Ath-IleTAT-171721,Nuclear,CCA,Periodate Oxidation,0.447189352,0.460069894
nuclear-Ath-IleTAT-171721,Nuclear,Non-CC/CCA,Control,0.351474105,0.363141279
nuclear-Ath-IleTAT-171721,Nuclear,Non-CC/CCA,Periodate Oxidation,0.633548623,0.671817889
nuclear-Ath-IleAAT-171736,Nuclear,CCA,Control,0.670731014,0.702258512
nuclear-Ath-IleAAT-171736,Nuclear,CCA,Periodate Oxidation,0.428390264,0.468412944
nuclear-Ath-IleAAT-171736,Nuclear,Non-CC/CCA,Control,0.645237151,0.655523707
nuclear-Ath-IleAAT-171736,Nuclear,Non-CC/CCA,Periodate Oxidation,0.772189338,0.771571218
nuclear-Ath-IleAAT-171735,Nuclear,CCA,Control,0.704338953,0.743147313
nuclear-Ath-IleAAT-171735,Nuclear,CCA,Periodate Oxidation,0.465375299,0.501643751
nuclear-Ath-IleAAT-171735,Nuclear,Non-CC/CCA,Control,0.60286447,0.610941385
nuclear-Ath-IleAAT-171735,Nuclear,Non-CC/CCA,Periodate Oxidation,0.752543079,0.751238426
nuclear-Ath-HisGTG-183748,Nuclear,CCA,Control,0.675829921,0.662641386
nuclear-Ath-HisGTG-183748,Nuclear,CCA,Periodate Oxidation,0.340114987,0.438602543
nuclear-Ath-HisGTG-183748,Nuclear,Non-CC/CCA,Control,0.348638955,0.380243197
nuclear-Ath-HisGTG-183748,Nuclear,Non-CC/CCA,Periodate Oxidation,0.618969124,0.633383204
nuclear-Ath-HisGTG-183747,Nuclear,CCA,Control,0.750630854,0.761335994
nuclear-Ath-HisGTG-183747,Nuclear,CCA,Periodate Oxidation,0.405431246,0.47633061
nuclear-Ath-HisGTG-183747,Nuclear,Non-CC/CCA,Control,0.390975366,0.400495822
nuclear-Ath-HisGTG-183747,Nuclear,Non-CC/CCA,Periodate Oxidation,0.587065058,0.600949208
nuclear-Ath-HisGTG-171770,Nuclear,CCA,Control,0.722529815,0.778749622
nuclear-Ath-HisGTG-171770,Nuclear,CCA,Periodate Oxidation,0.382577854,0.443781725
nuclear-Ath-HisGTG-171770,Nuclear,Non-CC/CCA,Control,0.460102902,0.472694053
nuclear-Ath-HisGTG-171770,Nuclear,Non-CC/CCA,Periodate Oxidation,0.578451864,0.585699519
nuclear-Ath-HisGTG-171768,Nuclear,CCA,Control,0.738720445,0.767135582
nuclear-Ath-HisGTG-171768,Nuclear,CCA,Periodate Oxidation,0.398086626,0.441614897
nuclear-Ath-HisGTG-171768,Nuclear,Non-CC/CCA,Control,0.47423995,0.486491316
nuclear-Ath-HisGTG-171768,Nuclear,Non-CC/CCA,Periodate Oxidation,0.637181488,0.649818771
nuclear-Ath-GlyTCC-171720,Nuclear,CCA,Control,0.712391124,0.7451322
nuclear-Ath-GlyTCC-171720,Nuclear,CCA,Periodate Oxidation,0.392694531,0.437251691
nuclear-Ath-GlyTCC-171720,Nuclear,Non-CC/CCA,Control,0.262729787,0.268321404
nuclear-Ath-GlyTCC-171720,Nuclear,Non-CC/CCA,Periodate Oxidation,0.739428407,0.719394729
nuclear-Ath-GlyGCC-171692,Nuclear,CCA,Control,0.739620939,0.767901649
nuclear-Ath-GlyGCC-171692,Nuclear,CCA,Periodate Oxidation,0.61740113,0.57761282
nuclear-Ath-GlyGCC-171692,Nuclear,Non-CC/CCA,Control,0.434260486,0.483150907
nuclear-Ath-GlyGCC-171692,Nuclear,Non-CC/CCA,Periodate Oxidation,0.614785439,0.560490866
nuclear-Ath-GlyGCC-171691,Nuclear,CCA,Control,0.792386448,0.816592329
nuclear-Ath-GlyGCC-171691,Nuclear,CCA,Periodate Oxidation,0.572205104,0.604944759
nuclear-Ath-GlyGCC-171691,Nuclear,Non-CC/CCA,Control,0.348032301,0.33282398
nuclear-Ath-GlyGCC-171691,Nuclear,Non-CC/CCA,Periodate Oxidation,0.631317053,0.620649095
nuclear-Ath-GlyGCC-171690,Nuclear,CCA,Control,0.803973863,0.82408311
nuclear-Ath-GlyGCC-171690,Nuclear,CCA,Periodate Oxidation,0.632426158,0.660089934
nuclear-Ath-GlyGCC-171690,Nuclear,Non-CC/CCA,Control,0.364706649,0.329930244
nuclear-Ath-GlyGCC-171690,Nuclear,Non-CC/CCA,Periodate Oxidation,0.607817555,0.586942074
nuclear-Ath-GlyGCC-171688,Nuclear,CCA,Control,0.809916333,0.828921655
nuclear-Ath-GlyGCC-171688,Nuclear,CCA,Periodate Oxidation,0.56294938,0.60188421
nuclear-Ath-GlyGCC-171688,Nuclear,Non-CC/CCA,Control,0.295103621,0.2838458
nuclear-Ath-GlyGCC-171688,Nuclear,Non-CC/CCA,Periodate Oxidation,0.604352405,0.59631053
nuclear-Ath-GlyCCC-171713,Nuclear,CCA,Control,0.736191826,0.754640626
nuclear-Ath-GlyCCC-171713,Nuclear,CCA,Periodate Oxidation,0.49440614,0.520970822
nuclear-Ath-GlyCCC-171713,Nuclear,Non-CC/CCA,Control,0.318671612,0.336074632
nuclear-Ath-GlyCCC-171713,Nuclear,Non-CC/CCA,Periodate Oxidation,0.62185229,0.637257318
nuclear-Ath-GluTTC-183764,Nuclear,CCA,Control,0.839946958,0.852347418
nuclear-Ath-GluTTC-183764,Nuclear,CCA,Periodate Oxidation,0.620114623,0.665396486
nuclear-Ath-GluTTC-183764,Nuclear,Non-CC/CCA,Control,0.283264697,0.267868992
nuclear-Ath-GluTTC-183764,Nuclear,Non-CC/CCA,Periodate Oxidation,0.603249053,0.609779793
nuclear-Ath-GluTTC-171826,Nuclear,CCA,Control,0.8583442,0.892176188
nuclear-Ath-GluTTC-171826,Nuclear,CCA,Periodate Oxidation,0.632500333,0.63638381
nuclear-Ath-GluTTC-171826,Nuclear,Non-CC/CCA,Control,0.246848816,0.234229796
nuclear-Ath-GluTTC-171826,Nuclear,Non-CC/CCA,Periodate Oxidation,0.494205893,0.544579818
nuclear-Ath-GluTTC-171822,Nuclear,CCA,Control,0.879276476,0.892134744
nuclear-Ath-GluTTC-171822,Nuclear,CCA,Periodate Oxidation,0.671028941,0.691314536
nuclear-Ath-GluTTC-171822,Nuclear,Non-CC/CCA,Control,0.189112977,0.186259063
nuclear-Ath-GluTTC-171822,Nuclear,Non-CC/CCA,Periodate Oxidation,0.471162358,0.467985437
nuclear-Ath-GluTTC-171820,Nuclear,CCA,Control,0.855394579,0.871002244
nuclear-Ath-GluTTC-171820,Nuclear,CCA,Periodate Oxidation,0.620977103,0.658104734
nuclear-Ath-GluTTC-171820,Nuclear,Non-CC/CCA,Control,0.208063784,0.202721132
nuclear-Ath-GluTTC-171820,Nuclear,Non-CC/CCA,Periodate Oxidation,0.494542963,0.49884274
nuclear-Ath-GluCTC-171825,Nuclear,CCA,Control,0.86313022,0.880667769
nuclear-Ath-GluCTC-171825,Nuclear,CCA,Periodate Oxidation,0.703832863,0.725488779
nuclear-Ath-GluCTC-171825,Nuclear,Non-CC/CCA,Control,0.19971822,0.21133481
nuclear-Ath-GluCTC-171825,Nuclear,Non-CC/CCA,Periodate Oxidation,0.408842069,0.387872688
nuclear-Ath-GluCTC-171824,Nuclear,CCA,Control,0.852283667,0.867679649
nuclear-Ath-GluCTC-171824,Nuclear,CCA,Periodate Oxidation,0.695452814,0.702053966
nuclear-Ath-GluCTC-171824,Nuclear,Non-CC/CCA,Control,0.219910985,0.21721818
nuclear-Ath-GluCTC-171824,Nuclear,Non-CC/CCA,Periodate Oxidation,0.428027769,0.411684682
nuclear-Ath-GluCTC-171821,Nuclear,CCA,Control,0.866420278,0.882324385
nuclear-Ath-GluCTC-171821,Nuclear,CCA,Periodate Oxidation,0.694521264,0.716591925
nuclear-Ath-GluCTC-171821,Nuclear,Non-CC/CCA,Control,0.224402565,0.216620569
nuclear-Ath-GluCTC-171821,Nuclear,Non-CC/CCA,Periodate Oxidation,0.429106022,0.4198929
nuclear-Ath-GlnTTG-183749,Nuclear,CCA,Control,0.811414446,0.82651539
nuclear-Ath-GlnTTG-183749,Nuclear,CCA,Periodate Oxidation,0.365427164,0.406030641
nuclear-Ath-GlnTTG-183749,Nuclear,Non-CC/CCA,Control,0.189096565,0.182812833
nuclear-Ath-GlnTTG-183749,Nuclear,Non-CC/CCA,Periodate Oxidation,0.54687694,0.550369905
nuclear-Ath-GlnTTG-171777,Nuclear,CCA,Control,0.739019097,0.765277256
nuclear-Ath-GlnTTG-171777,Nuclear,CCA,Periodate Oxidation,0.335369499,0.368060231
nuclear-Ath-GlnTTG-171777,Nuclear,Non-CC/CCA,Control,0.227238957,0.225468354
nuclear-Ath-GlnTTG-171777,Nuclear,Non-CC/CCA,Periodate Oxidation,0.615335414,0.620907715
nuclear-Ath-GlnCTG-171775,Nuclear,CCA,Control,0.842211083,0.863901348
nuclear-Ath-GlnCTG-171775,Nuclear,CCA,Periodate Oxidation,0.467961062,0.503914103
nuclear-Ath-GlnCTG-171775,Nuclear,Non-CC/CCA,Control,0.153514359,0.141968447
nuclear-Ath-GlnCTG-171775,Nuclear,Non-CC/CCA,Periodate Oxidation,0.440700862,0.436166782
nuclear-Ath-GlnCTG-171774,Nuclear,CCA,Control,0.818332773,0.826658287
nuclear-Ath-GlnCTG-171774,Nuclear,CCA,Periodate Oxidation,0.448745615,0.473089995
nuclear-Ath-GlnCTG-171774,Nuclear,Non-CC/CCA,Control,0.175635171,0.16773997
nuclear-Ath-GlnCTG-171774,Nuclear,Non-CC/CCA,Periodate Oxidation,0.484921665,0.476919398
nuclear-Ath-GlnCTG-171773,Nuclear,CCA,Control,0.826935895,0.870128884
nuclear-Ath-GlnCTG-171773,Nuclear,CCA,Periodate Oxidation,0.439964148,0.492973088
nuclear-Ath-GlnCTG-171773,Nuclear,Non-CC/CCA,Control,0.136010836,0.133770315
nuclear-Ath-GlnCTG-171773,Nuclear,Non-CC/CCA,Periodate Oxidation,0.490131573,0.488853473
nuclear-Ath-GlnCTG-171765,Nuclear,CCA,Control,0.838121049,0.872894684
nuclear-Ath-GlnCTG-171765,Nuclear,CCA,Periodate Oxidation,0.455809726,0.526964093
nuclear-Ath-GlnCTG-171765,Nuclear,Non-CC/CCA,Control,0.152971489,0.13281466
nuclear-Ath-GlnCTG-171765,Nuclear,Non-CC/CCA,Periodate Oxidation,0.492711798,0.497939564
nuclear-Ath-GlnCTG-171763,Nuclear,CCA,Control,0.858944488,0.870821992
nuclear-Ath-GlnCTG-171763,Nuclear,CCA,Periodate Oxidation,0.557155697,0.576148676
nuclear-Ath-GlnCTG-171763,Nuclear,Non-CC/CCA,Control,0.138210571,0.130899179
nuclear-Ath-GlnCTG-171763,Nuclear,Non-CC/CCA,Periodate Oxidation,0.452842014,0.458325905
nuclear-Ath-eMetCAT-171754,Nuclear,CCA,Control,0.695228767,0.72016824
nuclear-Ath-eMetCAT-171754,Nuclear,CCA,Periodate Oxidation,0.434314437,0.473550632
nuclear-Ath-eMetCAT-171754,Nuclear,Non-CC/CCA,Control,0.497042082,0.486884173
nuclear-Ath-eMetCAT-171754,Nuclear,Non-CC/CCA,Periodate Oxidation,0.812867819,0.8066067
nuclear-Ath-CysGCA-183742,Nuclear,CCA,Control,0.779105717,0.809205191
nuclear-Ath-CysGCA-183742,Nuclear,CCA,Periodate Oxidation,0.489871412,0.529871318
nuclear-Ath-CysGCA-183742,Nuclear,Non-CC/CCA,Control,0.159924398,0.148404626
nuclear-Ath-CysGCA-183742,Nuclear,Non-CC/CCA,Periodate Oxidation,0.391588172,0.401808013
nuclear-Ath-CysGCA-171759,Nuclear,CCA,Control,0.817221185,0.83741967
nuclear-Ath-CysGCA-171759,Nuclear,CCA,Periodate Oxidation,0.535958543,0.538147925
nuclear-Ath-CysGCA-171759,Nuclear,Non-CC/CCA,Control,0.206990413,0.1904824
nuclear-Ath-CysGCA-171759,Nuclear,Non-CC/CCA,Periodate Oxidation,0.421632603,0.406331743
nuclear-Ath-CysGCA-171758,Nuclear,CCA,Control,0.834806684,0.855663868
nuclear-Ath-CysGCA-171758,Nuclear,CCA,Periodate Oxidation,0.522761412,0.542187897
nuclear-Ath-CysGCA-171758,Nuclear,Non-CC/CCA,Control,0.20231667,0.203202227
nuclear-Ath-CysGCA-171758,Nuclear,Non-CC/CCA,Periodate Oxidation,0.498145627,0.480573464
nuclear-Ath-CysGCA-171757,Nuclear,CCA,Control,0.777407686,0.824523258
nuclear-Ath-CysGCA-171757,Nuclear,CCA,Periodate Oxidation,0.53597786,0.647164878
nuclear-Ath-CysGCA-171757,Nuclear,Non-CC/CCA,Control,0.240819442,0.183661604
nuclear-Ath-CysGCA-171757,Nuclear,Non-CC/CCA,Periodate Oxidation,0.470435149,0.473805879
nuclear-Ath-CysGCA-171756,Nuclear,CCA,Control,0.808898305,0.807465132
nuclear-Ath-CysGCA-171756,Nuclear,CCA,Periodate Oxidation,0.522244962,0.548807147
nuclear-Ath-CysGCA-171756,Nuclear,Non-CC/CCA,Control,0.222309295,0.205123047
nuclear-Ath-CysGCA-171756,Nuclear,Non-CC/CCA,Periodate Oxidation,0.550399038,0.541907607
nuclear-Ath-CysGCA-171742,Nuclear,CCA,Control,0.809868875,0.764904911
nuclear-Ath-CysGCA-171742,Nuclear,CCA,Periodate Oxidation,0.480022198,0.478256419
nuclear-Ath-CysGCA-171742,Nuclear,Non-CC/CCA,Control,0.242037987,0.254494253
nuclear-Ath-CysGCA-171742,Nuclear,Non-CC/CCA,Periodate Oxidation,0.468286311,0.457590283
nuclear-Ath-CysGCA-171684,Nuclear,CCA,Control,0.884119164,0.914161381
nuclear-Ath-CysGCA-171684,Nuclear,CCA,Periodate Oxidation,0.520235654,0.565303342
nuclear-Ath-CysGCA-171684,Nuclear,Non-CC/CCA,Control,0.112144319,0.106378411
nuclear-Ath-CysGCA-171684,Nuclear,Non-CC/CCA,Periodate Oxidation,0.393570218,0.37092468
nuclear-Ath-AspGTC-171804,Nuclear,CCA,Control,0.644560066,0.686855471
nuclear-Ath-AspGTC-171804,Nuclear,CCA,Periodate Oxidation,0.471280938,0.503940884
nuclear-Ath-AspGTC-171804,Nuclear,Non-CC/CCA,Control,0.227517248,0.219435864
nuclear-Ath-AspGTC-171804,Nuclear,Non-CC/CCA,Periodate Oxidation,0.467491472,0.458989731
nuclear-Ath-AsnGTT-183739,Nuclear,CCA,Control,0.745655061,0.759653429
nuclear-Ath-AsnGTT-183739,Nuclear,CCA,Periodate Oxidation,0.490040597,0.560530979
nuclear-Ath-AsnGTT-183739,Nuclear,Non-CC/CCA,Control,0.368808178,0.385827125
nuclear-Ath-AsnGTT-183739,Nuclear,Non-CC/CCA,Periodate Oxidation,0.669750578,0.674037792
nuclear-Ath-AsnGTT-183738,Nuclear,CCA,Control,0.715360405,0.724207243
nuclear-Ath-AsnGTT-183738,Nuclear,CCA,Periodate Oxidation,0.492010089,0.532742838
nuclear-Ath-AsnGTT-183738,Nuclear,Non-CC/CCA,Control,0.411951886,0.428083086
nuclear-Ath-AsnGTT-183738,Nuclear,Non-CC/CCA,Periodate Oxidation,0.641769608,0.635546588
nuclear-Ath-AsnGTT-183736,Nuclear,CCA,Control,0.731732076,0.749260702
nuclear-Ath-AsnGTT-183736,Nuclear,CCA,Periodate Oxidation,0.562525337,0.570984484
nuclear-Ath-AsnGTT-183736,Nuclear,Non-CC/CCA,Control,0.357061688,0.368507909
nuclear-Ath-AsnGTT-183736,Nuclear,Non-CC/CCA,Periodate Oxidation,0.582371206,0.578249602
nuclear-Ath-AsnGTT-171729,Nuclear,CCA,Control,0.739229899,0.757772544
nuclear-Ath-AsnGTT-171729,Nuclear,CCA,Periodate Oxidation,0.496089149,0.537755384
nuclear-Ath-AsnGTT-171729,Nuclear,Non-CC/CCA,Control,0.378290845,0.394363767
nuclear-Ath-AsnGTT-171729,Nuclear,Non-CC/CCA,Periodate Oxidation,0.67417526,0.665451479
nuclear-Ath-AsnGTT-171727,Nuclear,CCA,Control,0.719948734,0.734667499
nuclear-Ath-AsnGTT-171727,Nuclear,CCA,Periodate Oxidation,0.510087558,0.538102094
nuclear-Ath-AsnGTT-171727,Nuclear,Non-CC/CCA,Control,0.40905915,0.430266415
nuclear-Ath-AsnGTT-171727,Nuclear,Non-CC/CCA,Periodate Oxidation,0.648747799,0.651946417
nuclear-Ath-AsnGTT-171725,Nuclear,CCA,Control,0.671666667,0.701740191
nuclear-Ath-AsnGTT-171725,Nuclear,CCA,Periodate Oxidation,0.474410801,0.527589134
nuclear-Ath-AsnGTT-171725,Nuclear,Non-CC/CCA,Control,0.418979745,0.411799655
nuclear-Ath-AsnGTT-171725,Nuclear,Non-CC/CCA,Periodate Oxidation,0.630308049,0.646205866
nuclear-Ath-ArgTCT-171717,Nuclear,CCA,Control,0.836466046,0.861573951
nuclear-Ath-ArgTCT-171717,Nuclear,CCA,Periodate Oxidation,0.618593857,0.624675325
nuclear-Ath-ArgTCT-171717,Nuclear,Non-CC/CCA,Control,0.248911122,0.28059934
nuclear-Ath-ArgTCT-171717,Nuclear,Non-CC/CCA,Periodate Oxidation,0.574032705,0.580297692
nuclear-Ath-ArgTCT-171714,Nuclear,CCA,Control,0.861759668,0.870280279
nuclear-Ath-ArgTCT-171714,Nuclear,CCA,Periodate Oxidation,0.64694459,0.665343471
nuclear-Ath-ArgTCT-171714,Nuclear,Non-CC/CCA,Control,0.225607466,0.242512108
nuclear-Ath-ArgTCT-171714,Nuclear,Non-CC/CCA,Periodate Oxidation,0.53176116,0.536714616
nuclear-Ath-ArgTCT-171696,Nuclear,CCA,Control,0.870063112,0.883060487
nuclear-Ath-ArgTCT-171696,Nuclear,CCA,Periodate Oxidation,0.622033743,0.664702793
nuclear-Ath-ArgTCT-171696,Nuclear,Non-CC/CCA,Control,0.363071234,0.377053692
nuclear-Ath-ArgTCT-171696,Nuclear,Non-CC/CCA,Periodate Oxidation,0.687657562,0.69994354
nuclear-Ath-ArgTCT-171695,Nuclear,CCA,Control,0.865437583,0.879470003
nuclear-Ath-ArgTCT-171695,Nuclear,CCA,Periodate Oxidation,0.639006244,0.676183539
nuclear-Ath-ArgTCT-171695,Nuclear,Non-CC/CCA,Control,0.354351852,0.357760756
nuclear-Ath-ArgTCT-171695,Nuclear,Non-CC/CCA,Periodate Oxidation,0.691803594,0.68351138
nuclear-Ath-ArgTCT-171694,Nuclear,CCA,Control,0.864601217,0.881306664
nuclear-Ath-ArgTCT-171694,Nuclear,CCA,Periodate Oxidation,0.616685878,0.654580953
nuclear-Ath-ArgTCT-171694,Nuclear,Non-CC/CCA,Control,0.397385883,0.399060607
nuclear-Ath-ArgTCT-171694,Nuclear,Non-CC/CCA,Periodate Oxidation,0.736211279,0.736028412
nuclear-Ath-ArgTCT-171693,Nuclear,CCA,Control,0.84620986,0.861294923
nuclear-Ath-ArgTCT-171693,Nuclear,CCA,Periodate Oxidation,0.582599813,0.618500092
nuclear-Ath-ArgTCT-171693,Nuclear,Non-CC/CCA,Control,0.379343497,0.374891157
nuclear-Ath-ArgTCT-171693,Nuclear,Non-CC/CCA,Periodate Oxidation,0.709698904,0.704599792
nuclear-Ath-ArgTCG-171677,Nuclear,CCA,Control,0.637779795,0.671305457
nuclear-Ath-ArgTCG-171677,Nuclear,CCA,Periodate Oxidation,0.39374913,0.435053762
nuclear-Ath-ArgTCG-171677,Nuclear,Non-CC/CCA,Control,0.26111982,0.260044827
nuclear-Ath-ArgTCG-171677,Nuclear,Non-CC/CCA,Periodate Oxidation,0.555353374,0.542512225
nuclear-Ath-ArgTCG-171676,Nuclear,CCA,Control,0.632321926,0.672219747
nuclear-Ath-ArgTCG-171676,Nuclear,CCA,Periodate Oxidation,0.383535194,0.416134788
nuclear-Ath-ArgTCG-171676,Nuclear,Non-CC/CCA,Control,0.296981868,0.288137226
nuclear-Ath-ArgTCG-171676,Nuclear,Non-CC/CCA,Periodate Oxidation,0.591273577,0.586120696
nuclear-Ath-ArgCCT-171719,Nuclear,CCA,Control,0.650480368,0.664177781
nuclear-Ath-ArgCCT-171719,Nuclear,CCA,Periodate Oxidation,0.404349785,0.425440123
nuclear-Ath-ArgCCT-171719,Nuclear,Non-CC/CCA,Control,0.401337405,0.398477321
nuclear-Ath-ArgCCT-171719,Nuclear,Non-CC/CCA,Periodate Oxidation,0.657484119,0.668193526
nuclear-Ath-ArgCCT-171716,Nuclear,CCA,Control,0.695473346,0.719394922
nuclear-Ath-ArgCCT-171716,Nuclear,CCA,Periodate Oxidation,0.451127517,0.476471412
nuclear-Ath-ArgCCT-171716,Nuclear,Non-CC/CCA,Control,0.287750366,0.283151871
nuclear-Ath-ArgCCT-171716,Nuclear,Non-CC/CCA,Periodate Oxidation,0.574219308,0.584676607
nuclear-Ath-ArgCCT-171715,Nuclear,CCA,Control,0.668178721,0.698255358
nuclear-Ath-ArgCCT-171715,Nuclear,CCA,Periodate Oxidation,0.466319729,0.444307813
nuclear-Ath-ArgCCT-171715,Nuclear,Non-CC/CCA,Control,0.310727478,0.307082714
nuclear-Ath-ArgCCT-171715,Nuclear,Non-CC/CCA,Periodate Oxidation,0.54712104,0.560666563
nuclear-Ath-ArgCCG-183763,Nuclear,CCA,Control,0.715423629,0.729059312
nuclear-Ath-ArgCCG-183763,Nuclear,CCA,Periodate Oxidation,0.51083603,0.51532906
nuclear-Ath-ArgCCG-183763,Nuclear,Non-CC/CCA,Control,0.29589013,0.32363489
nuclear-Ath-ArgCCG-183763,Nuclear,Non-CC/CCA,Periodate Oxidation,0.527571184,0.59190775
nuclear-Ath-ArgCCG-171686,Nuclear,CCA,Control,0.77484393,0.778655523
nuclear-Ath-ArgCCG-171686,Nuclear,CCA,Periodate Oxidation,0.517729314,0.521772962
nuclear-Ath-ArgCCG-171686,Nuclear,Non-CC/CCA,Control,0.376705216,0.37395359
nuclear-Ath-ArgCCG-171686,Nuclear,Non-CC/CCA,Periodate Oxidation,0.662142352,0.678496996
nuclear-Ath-ArgCCG-171678,Nuclear,CCA,Control,0.726673843,0.761614415
nuclear-Ath-ArgCCG-171678,Nuclear,CCA,Periodate Oxidation,0.570125397,0.569893088
nuclear-Ath-ArgCCG-171678,Nuclear,Non-CC/CCA,Control,0.245621309,0.240806715
nuclear-Ath-ArgCCG-171678,Nuclear,Non-CC/CCA,Periodate Oxidation,0.443645421,0.458646376
nuclear-Ath-ArgACG-171772,Nuclear,CCA,Control,0.729359823,0.726361641
